TICKER	FIGI_TICKER	FIGI	TITLE	PUBLICATION_DATE	URL	SUMMARY
XOM	XOM:US	BBG000GZQ728	"Energy Sector Update for 08/30/2016: TOT, XOM, CVX, COP, SLB, OXY"	2016-08-30T13:10:27.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/WUPrftHofkc/energy-sector-update-for-08302016-tot-xom-cvx-cop-slb-oxy-cm672038	"Top Energy Stocks XOM +0.2% CVX flat COP +0.4% SLB +0.4% OXY +0.2% Energy shares were mostly firmer in pre market trade on Tuesday, as crude oil futures inched higher ahead of US inventories and the crucial August jobs"
XOM	XOM:US	BBG000GZQ728	ExxonMobil Withdraws from Proposed LNG Facility in Alaska	2016-08-30T13:09:01.000+00:00	http://finance.yahoo.com/news/exxonmobil-withdraws-proposed-lng-facility-130901738.html	ExxonMobil Withdraws from Proposed LNG Facility in Alaska
XOM	XOM:US	BBG000GZQ728	U.S. Oil Firms Continue Tussle Over Taxes	2016-08-30T12:52:00.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/E4LaAQrrRd8/us-oil-firms-continue-tussle-over-taxes-20160830-00696	U.S. Oil Firms Continue Tussle Over Taxes
XOM	XOM:US	BBG000GZQ728	Apple Inc. (AAPL) Stock Sentiment Hits the Skids Under Cook	2016-08-30T05:09:22.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ZEUsL8rsV_U/apple-inc-aapl-stock-sentiment-hits-the-skids-under-cook-cm671954	"Apple Inc. ( AAPL ) stock has hit the skids, trending downward last week after not having enough steam to reach the year to date"
XOM	XOM:US	BBG000GZQ728	"After Hours Most Active for Aug 29, 2016 :  BAC, MSFT, ODP, JPM, MU, INTC, XOM, CSCO, ORCL, SWN, GLW, TLT"	2016-08-29T21:07:41.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/fvGYKYIUljU/after-hours-most-active-for-aug-29-2016-bac-msft-odp-jpm-mu-intc-xom-csco-orcl-swn-glw-tlt-cm671872	"The NASDAQ 100 After Hours Indicator is up 2.69 to 4,793.78. The total After hours volume is currently 20,444,531 shares traded. The following are the most active stocks for the after hours session Bank of America Corporation ( BAC"
XOM	XOM:US	BBG000GZQ728	Big Oil's Yuge Problem	2016-08-29T18:37:05.000+00:00	http://www.bloomberg.com/gadfly/articles/2016-08-29/big-oil-loses-love-for-big-projects?cmpid=yhoo.headline	Big Oil's Yuge Problem
XOM	XOM:US	BBG000GZQ728	BlackRock withheld support from two key Exxon directors: filings	2016-08-29T18:35:03.000+00:00	http://finance.yahoo.com/news/blackrock-withheld-support-two-key-120159303.html	BlackRock withheld support from two key Exxon directors: filings
XOM	XOM:US	BBG000GZQ728	The 5 Best Oil ETFs	2016-08-29T18:13:22.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/naNwXPqntRg/the-5-best-oil-etfs-cm671785	Photo by  Getty Images.  An explosion in ETFs has left investors with so many choices that it's difficult to separate the best ETFs from the worst. I've taken a deep look into many
XOM	XOM:US	BBG000GZQ728	3 Stocks You Can Buy and Hold Forever	2016-08-29T18:13:11.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_RwHfLlgtQA/3-stocks-you-can-buy-and-hold-forever-cm671781	Image source  Consolidated Edison.  Buy and hold is something that you hear all the time when it comes to investing. But finding stocks you can buy and hold forever isn't as easy as
XOM	XOM:US	BBG000GZQ728	"Here’s Why Goldcorp, Southwest Airlines and Three Oil Stocks Are in Spotlight Today"	2016-08-29T14:29:06.000+00:00	http://www.insidermonkey.com/blog/heres-why-goldcorp-southwest-airlines-and-three-oil-stocks-are-in-spotlight-today-471001/	"Here’s Why Goldcorp, Southwest Airlines and Three Oil Stocks Are in Spotlight Today"
XOM	XOM:US	BBG000GZQ728	Apple is the worst performer on the Dow	2016-08-29T13:42:00.000+00:00	http://finance.yahoo.com/video/apple-worst-performer-dow-134200613.html	Apple is the worst performer on the Dow
XOM	XOM:US	BBG000GZQ728	"Energy Sector Update for 08/29/2016: NEE, XOM, CVX, COP, SLB, OXY"	2016-08-29T13:09:37.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/uoCOedwZZS0/energy-sector-update-for-08292016-nee-xom-cvx-cop-slb-oxy-cm671414	"Top Energy Stocks XOM +0.01% CVX flat COP flat SLB 0.5% OXY flat Energy shares were mostly flat in pre market trade on Monday, as crude oil futures edged lower on reports that Iraq's production rose in July, and"
XOM	XOM:US	BBG000GZQ728	BlackRock withheld support from two key Exxon directors -filings	2016-08-29T11:00:01.000+00:00	http://finance.yahoo.com/news/blackrock-withheld-support-two-key-110001837.html	BlackRock withheld support from two key Exxon directors -filings
XOM	XOM:US	BBG000GZQ728	Holland: Companies Over Commodities in Energy	2016-08-29T10:03:11.000+00:00	http://finance.yahoo.com/video/holland-companies-over-commodities-energy-100311330.html	Holland: Companies Over Commodities in Energy
XOM	XOM:US	BBG000GZQ728	[$$] Exxon Mobil Backs Out of Proposed Alaska LNG Project	2016-08-29T04:10:55.000+00:00	http://www.wsj.com/articles/exxon-mobil-backs-out-of-proposed-alaska-lng-project-1472263173?ru=yahoo?mod=yahoo_itp	[$$] Exxon Mobil Backs Out of Proposed Alaska LNG Project
XOM	XOM:US	BBG000GZQ728	5 Stocks That Caught the Attention of Cliff Asness’ Quant Fund in Q2	2016-08-29T00:22:40.000+00:00	http://www.insidermonkey.com/blog/5-stocks-that-caught-the-attention-of-cliff-asness-quant-fund-in-q2-470926/	5 Stocks That Caught the Attention of Cliff Asness’ Quant Fund in Q2
XOM	XOM:US	BBG000GZQ728	3 Beaten-Up Dividend Aristocrats: Are They Bargains?	2016-08-28T14:49:45.000+00:00	http://www.fool.com/investing/2016/08/27/3-beaten-up-dividend-aristocrats-are-they-bargains.aspx?source=yahoo-2&utm_campaign=article&utm_medium=feed&utm_source=yahoo-2	3 Beaten-Up Dividend Aristocrats: Are They Bargains?
XOM	XOM:US	BBG000GZQ728	Time to Shift Your Focus	2016-08-28T11:07:40.000+00:00	http://finance.yahoo.com/tumblr/blog-time-to-shift-your-focus-110745912.html	Time to Shift Your Focus
XOM	XOM:US	BBG000GZQ728	3 Beaten-Up Dividend Aristocrats: Are They Bargains?	2016-08-27T22:12:07.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0wfJugtA_-k/3-beaten-up-dividend-aristocrats-are-they-bargains-cm671216	"Image source  Getty Images.  With the Dow Jones Industrial Average, the Nasdaq Composite, and the S&P 500 all at or close to all time highs lately, there aren't a whole lot of companies"
XOM	XOM:US	BBG000GZQ728	MEDIA LINK-Exxon Mobil Backs Out of Proposed Alaska LNG Project -WSJ	2016-08-27T16:28:11.000+00:00	http://finance.yahoo.com/news/media-exxon-mobil-backs-proposed-162811112.html	"[Reuters] - Exxon Mobil Corp has decided to scrap further investment in a proposed natural gas export terminal in Alaska and will work with its partners to sell its interest in the project to the state government, ..."
XOM	XOM:US	BBG000GZQ728	[$$] State AGs Want a Double Standard on Climate	2016-08-27T04:29:04.000+00:00	http://www.wsj.com/articles/state-ags-want-a-double-standard-on-climate-1472244246?ru=yahoo?mod=yahoo_itp	[$$] State AGs Want a Double Standard on Climate
XOM	XOM:US	BBG000GZQ728	[$$] Exxon Mobil Backs Out of Proposed Alaska LNG Project	2016-08-27T01:59:36.000+00:00	http://www.wsj.com/articles/exxon-mobil-backs-out-of-proposed-alaska-lng-project-1472263173?mod=yahoo_hs	[$$] Exxon Mobil Backs Out of Proposed Alaska LNG Project
XOM	XOM:US	BBG000GZQ728	Exxon Mobil Corporation Is a Buy for Patient Income Investors (XOM)	2016-08-26T22:29:54.000+00:00	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zwV_qm1PCoo/exxon-mobil-corporation-is-a-buy-for-patient-income-investors-xom-cm671041	Oil has been all over the place lately. The price of crude saw its sharpest decline in a while on Monday before rebounding Tuesday following
